address,lendedUsd,nbOfLiquidations,usdLostToLiquidations
0x0af5…3295,61171.627789017744,0,0
0x0afd…ce7f,198.954826,0,0
0x0b06…4562,182.29514374437974,18,3046.805537279384
0x0b0f…f11d,165.0978543283883,0,0
0x0b10…1e7f,3301.957086567766,0,0
0x0b19…ed9e,5559.650676306755,0,0
0x0b1c…8f01,549.598438,0,0
0x0b1d…9456,2238.882687210841,0,0
0x0b21…dbe9,153.2578786804329,0,0
0x0b29…c28e,100.46867569615416,2,9.898211520553657
0x0b2b…5e9e,2247.0933858015105,0,0
0x0b2c…424c,7962.380656084399,0,0
0x0b2d…c56e,1993.3290286501688,0,0
0x0b2d…cd42,26110.885778455828,0,0
0x0b34…7a7b,276529.47127778595,0,0
0x0b5a…d8c5,3918114.016260061,0,0
0x0b6c…c2f4,27497.628092102786,0,0
0x0b6c…d1fa,115.56319274661061,13,1218.5980296757912
0x0b70…16a9,165.35429663816453,0,0
0x0b8d…9e03,283.1752990635122,2,38.94452816784076
0x0b94…8d34,9631.62372263347,0,0
0x0b98…084d,21773.198245732226,1,623.6459801704798
0x0b9f…06c2,196.06063634254207,16,1876.2652759470254
0x0ba9…faf7,1807.382355620444,0,0
0x0bb6…06b9,393.244941809496,0,0
0x0bba…1a44,391.79237050914907,0,0
0x0bc6…b8d7,1822.0955643195684,0,0
0x0bcf…59cb,1662367.8908535675,0,0
0x0bd0…bc33,410.20870576302974,0,0
0x0bd2…e4fc,28234.671893576382,0,0
0x0bd2…4e2e,457.1438602999024,0,0
0x0bd4…3278,5560.368176222505,3,923.84955768
0x0be2…320a,1650.978543283883,0,0
0x0bf5…c8b4,1234.6424464073282,1,65.4361672125
0x0bfd…9e0d,1023.9144978672854,3,1513.4726515377633
0x0c03…fcbe,19506.629941158622,0,0
0x0c07…f41c,1385.4956755631163,0,0
0x0c0a…6595,356091.9248931126,0,0
0x0c1f…220c,11663.674430024294,0,0
0x0c30…dd15,12712798.579963408,0,0
0x0c4b…f997,223239.77763233584,0,0
0x0c4d…b350,54698.49512412756,0,0
0x0c56…5606,128.45178138598007,0,0
0x0c5e…6aa0,165.0978543283883,0,0
0x0c6a…fb1f,642.615388032387,0,0
0x0c6c…3f87,26415.65669254213,0,0
0x0c75…16da,165.0978543283883,0,0
0x0c80…1dcc,202.8256328443215,0,0
0x0c81…963a,13282.108198792443,0,0
0x0c90…9f7c,822.0074330269681,3,18.357543903522316
0x0cbc…c554,260.724583,0,0
0x0cbe…8b65,975.000000298209,5,1555.340928254846
0x0cce…fdbd,888.413015,0,0
0x0cd4…8c1e,52657652.24036461,0,0
0x0ce0…9f7c,42497.09859115572,2,3931.12861662581
0x0ce1…20ed,3681.598853,0,0
0x0cff…3b33,165.0978543283883,0,0
0x0d33…91f7,523615.6619046304,0,0
0x0d34…01e0,3764.663038182032,0,0
0x0d3d…630b,545.0253959026094,0,0
0x0d42…067b,4292.544212538096,0,0
0x0d45…23b7,101789.55090323971,0,0
0x0d64…776d,9263.646043580078,0,0
0x0d71…b00e,334.6778752882803,2,45.45565863090389
0x0d76…f79c,21996.382836248085,0,0
